creator_user_id,username,creator_total_engagement
U1064,pixel_studio_817,8
U1048,travel_zone_415,6
U1026,buzz_media_300,6
U1058,global_zone_796,12
U1036,daily_stories_294,4
U1080,buzz_pulse_648,3
U1033,news_lab_456,2
U1009,travel_insights_281,5
U1012,trend_pulse_811,5
U1006,viral_feed_294,2
U1051,pixel_hub_329,5
U1075,news_studio_195,2
U1040,smart_vibes_514,13
U1050,smart_media_645,16
U1068,smart_world_797,5
U1070,fit_insights_247,11
U1020,viral_media_559,19
U1017,global_feed_924,7
U1061,spark_studio_810,12
U1038,social_media_248,11
U1029,food_spot_591,12
U1032,trend_vibes_740,11
U1066,tech_world_155,17
U1023,travel_vibes_862,1
U1030,social_lab_479,11
U1034,tech_stories_434,5
U1028,global_zone_876,19
U1043,fit_pulse_375,17
U1081,urban_studio_310,6
U1069,food_media_456,20
U1077,smart_feed_361,6
U1007,travel_media_717,8
U1018,spark_lab_914,2
U1039,food_stories_295,9
U1022,social_lab_47,12
